rank,track,artist
76,Come Over,Kenny Chesney
77,Heart Attack,Trey Songz
78,Drank In My Cup,Kirko Bangz
79,Birthday Cake,Rihanna Featuring Chris Brown
80,So Good,B.o.B
81,50 Ways To Say Goodbye,Train
82,Red Solo Cup,Toby Keith
83,Love You Like A Love Song,Selena Gomez & The Scene
84,Turn Up The Music,Chris Brown
85,Die Young,Ke$ha
86,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
87,A Thousand Years,Christina Perri
88,Take A Little Ride,Jason Aldean
89,You Da One,Rihanna
90,We Run The Night,Havana Brown Featuring Pitbull
91,It's Time,Imagine Dragons
92,Cashin' Out,Ca$h Out
93,I Don't Want This Night To End,Luke Bryan
94,Diamonds,Rihanna
95,Hard To Love,Lee Brice
96,Somethin' 'Bout A Truck,Kip Moore
97,Adorn,Miguel
98,Fly Over States,Jason Aldean
99,Even If It Breaks Your Heart,Eli Young Band
100,Burn It Down,Linkin Park
1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
3,Radioactive,Imagine Dragons
4,Harlem Shake,Baauer
5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
6,Mirrors,Justin Timberlake
7,Just Give Me A Reason,P!nk Featuring Nate Ruess
8,When I Was Your Man,Bruno Mars
9,Cruise,Florida Georgia Line Featuring Nelly
10,Roar,Katy Perry
11,Locked Out Of Heaven,Bruno Mars
12,Ho Hey,The Lumineers
13,Stay,Rihanna Featuring Mikky Ekko
14,Get Lucky,Daft Punk Featuring Pharrell Williams
15,Royals,Lorde
16,I Knew You Were Trouble.,Taylor Swift
17,We Can't Stop,Miley Cyrus
18,Wrecking Ball,Miley Cyrus
19,Wake Me Up!,Avicii
20,Suit & Tie,Justin Timberlake Featuring JAY Z
21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
22,Holy Grail,Jay Z Featuring Justin Timberlake
23,Scream & Shout,will.i.am & Britney Spears
24,Clarity,Zedd Featuring Foxes
25,Sail,AWOLNATION
26,Don't You Worry Child,Swedish House Mafia Featuring John Martin
27,Diamonds,Rihanna
28,I Love It,Icona Pop Featuring Charli XCX
29,Safe And Sound,Capital Cities
30,Treasure,Bruno Mars
31,The Way,Ariana Grande Featuring Mac Miller
32,Started From The Bottom,Drake
33,Come & Get It,Selena Gomez
34,"Hold On, We're Going Home",Drake Featuring Majid Jordan
35,Daylight,Maroon 5
36,Feel This Moment,Pitbull Featuring Christina Aguilera
37,Applause,Lady Gaga
38,One More Night,Maroon 5
39,Love Me,Lil Wayne Featuring Drake & Future
40,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
41,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
42,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
43,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert
44,Sweet Nothing,Calvin Harris Featuring Florence Welch
45,Summertime Sadness,Lana Del Rey vs. Cedric Gervais
46,Home,Phillip Phillips
47,It's Time,Imagine Dragons
48,Power Trip,J. Cole Featuring Miguel
49,Girl On Fire,Alicia Keys Featuring Nicki Minaj
50,Heart Attack,Demi Lovato
51,Love Somebody,Maroon 5
52,I Will Wait,Mumford & Sons
53,Try,P!nk
54,Wagon Wheel,Darius Rucker
55,Gangnam Style,PSY
56,I Need Your Love,Calvin Harris Featuring Ellie Goulding
57,Die Young,Ke$ha
58,Some Nights,fun.
59,Bad,Wale Featuring Tiara Thomas Or Rihanna
60,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends
61,"Gone, Gone, Gone",Phillip Phillips
62,Demons,Imagine Dragons
63,Counting Stars,OneRepublic
64,I Cry,Flo Rida
65,Little Talks,Of Monsters And Men
66,The Other Side,Jason Derulo
67,Berzerk,Eminem
68,Catch My Breath,Kelly Clarkson
69,Crash My Party,Luke Bryan
70,Pour It Up,Rihanna
71,22,Taylor Swift
72,I Want Crazy,Hunter Hayes
73,The Fox,Ylvis
74,Best Song Ever,One Direction
75,The A Team,Ed Sheeran
76,Carry On,fun.
77,Highway Don't Care,Tim McGraw With Taylor Swift
78,That's My Kind Of Night,Luke Bryan
79,Swimming Pools (Drank),Kendrick Lamar
80,Sure Be Cool If You Did,Blake Shelton
81,#Beautiful,Mariah Carey Featuring Miguel
82,Troublemaker,Olly Murs Featuring Flo Rida
83,Body Party,Ciara
84,Adorn,Miguel
85,Hall Of Fame,The Script Featuring will.i.am
86,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
87,U.O.E.N.O.,Rocko Featuring Future & Rick Ross
88,Next To Me,Emeli Sande
89,Mama's Broken Heart,Miranda Lambert
90,It Goes Like This,Thomas Rhett
91,Bugatti,Ace Hood Featuring Future & Rick Ross
92,Wanted,Hunter Hayes
93,Downtown,Lady Antebellum
94,Get Your Shine On,Florida Georgia Line
95,#thatPOWER,will.i.am Featuring Justin Bieber
96,Brave,Sara Bareilles
97,Let Her Go,Passenger
98,Runnin' Outta Moonlight,Randy Houser
99,I'm Different,2 Chainz
100,Still Into You,Paramore
1,Happy,Pharrell Williams
2,Dark Horse,Katy Perry Featuring Juicy J
3,All Of Me,John Legend
4,Fancy,Iggy Azalea Featuring Charli XCX
5,Counting Stars,OneRepublic
6,Talk Dirty,Jason Derulo Featuring 2 Chainz
7,Rude,MAGIC!
8,All About That Bass,Meghan Trainor
9,Problem,Ariana Grande Featuring Iggy Azalea
10,Stay With Me,Sam Smith
11,Timber,Pitbull Featuring Ke$ha
12,Pompeii,Bastille
13,Shake It Off,Taylor Swift
14,Am I Wrong,Nico & Vinz
15,Turn Down For What,DJ Snake & Lil Jon
16,The Monster,Eminem Featuring Rihanna
17,Say Something,A Great Big World & Christina Aguilera
18,Team,Lorde
19,Let Her Go,Passenger
20,Royals,Lorde
21,Let It Go,Idina Menzel
22,Wake Me Up!,Avicii
23,Demons,Imagine Dragons
24,Story Of My Life,One Direction
25,Chandelier,Sia
26,Black Widow,Iggy Azalea Featuring Rita Ora
27,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
28,Latch,Disclosure Featuring Sam Smith
29,Maps,Maroon 5
30,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
31,Best Day Of My Life,American Authors
32,Habits (Stay High),Tove Lo
33,Summer,Calvin Harris
34,Boom Clap,Charli XCX
35,Drunk In Love,Beyonce Featuring Jay Z
36,Anaconda,Nicki Minaj
37,Break Free,Ariana Grande Featuring Zedd
38,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
39,Burn,Ellie Goulding
40,Wiggle,Jason Derulo Featuring Snoop Dogg
41,Rather Be,Clean Bandit Featuring Jess Glynne
42,Don't Tell 'Em,Jeremih Featuring YG
43,Show Me,Kid Ink Featuring Chris Brown
44,Wrecking Ball,Miley Cyrus
45,Not A Bad Thing,Justin Timberlake
46,Roar,Katy Perry
47,Ain't It Fun,Paramore
48,The Man,Aloe Blacc
49,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan
50,Classic,MKTO
51,A Sky Full Of Stars,Coldplay
52,Don't,Ed Sheeran
53,Na Na,Trey Songz
54,Hot Boy,Bobby Shmurda
55,"Hold On, We're Going Home",Drake Featuring Majid Jordan
56,Sing,Ed Sheeran
57,Radioactive,Imagine Dragons
58,My Hitta,YG Featuring Jeezy & Rich Homie Quan
59,Cool Kids,Echosmith
60,Hey Brother,Avicii
61,Trumpets,Jason Derulo
62,Animals,Maroon 5
63,Burnin' It Down,Jason Aldean
64,Play It Again,Luke Bryan
65,2 On,Tinashe Featuring ScHoolboy Q
66,Dirt,Florida Georgia Line
67,Love Runs Out,OneRepublic
68,Bottoms Up,Brantley Gilbert
69,Shower,Becky G
70,Me And My Broken Heart,Rixton
71,Animals,Martin Garrix
72,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan
73,American Kids,Kenny Chesney
74,Brave,Sara Bareilles
75,Sweater Weather,The Neighbourhood
76,Leave The Night On,Sam Hunt
77,New Flame,Chris Brown Featuring Usher & Rick Ross
78,Love Never Felt So Good,Michael Jackson & Justin Timberlake
79,Drunk On A Plane,Dierks Bentley
80,Birthday,Katy Perry
81,Bartender,Lady Antebellum
82,La La La,Naughty Boy Featuring Sam Smith
83,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
84,Do What U Want,Lady Gaga Featuring R. Kelly
85,Can't Remember To Forget You,Shakira Featuring Rihanna
86,Amnesia,5 Seconds Of Summer
87,No Mediocre,T.I. Featuring Iggy Azalea
88,Come With Me Now,KONGOS
89,Believe Me,Lil Wayne Featuring Drake
90,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
91,Beachin',Jake Owen
92,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
93,She Looks So Perfect,5 Seconds Of Summer
94,Stay The Night,Zedd Featuring Hayley Williams
95,Partition,Beyonce
96,Studio,ScHoolboy Q Featuring BJ The Chicago Kid
97,0 To 100 / The Catch Up,Drake
98,I Don't Dance,Lee Brice
99,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood
100,Adore You,Miley Cyrus
1,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2,Thinking Out Loud,Ed Sheeran
3,See You Again,Wiz Khalifa Featuring Charlie Puth
4,Trap Queen,Fetty Wap
5,Sugar,Maroon 5
6,Shut Up And Dance,WALK THE MOON
7,Blank Space,Taylor Swift
8,Watch Me,Silento
9,Earned It (Fifty Shades Of Grey),The Weeknd
10,The Hills,The Weeknd
11,Cheerleader,OMI
12,Can't Feel My Face,The Weeknd
13,Love Me Like You Do,Ellie Goulding
14,Take Me To Church,Hozier
15,Bad Blood,Taylor Swift Featuring Kendrick Lamar
16,Lean On,Major Lazer X DJ Snake Featuring MO
17,Want To Want Me,Jason Derulo
18,Shake It Off,Taylor Swift
19,Where Are U Now,Skrillex & Diplo With Justin Bieber
20,Fight Song,Rachel Platten
21,679,Fetty Wap Featuring Remy Boyz
22,Lips Are Movin,Meghan Trainor
23,Worth It,Fifth Harmony Featuring Kid Ink
24,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
25,"Honey, I'm Good.",Andy Grammer
26,I'm Not The Only One,Sam Smith
27,Good For You,Selena Gomez Featuring A$AP Rocky
28,All About That Bass,Meghan Trainor
29,Style,Taylor Swift
30,Hotline Bling,Drake
31,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
32,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
33,What Do You Mean?,Justin Bieber
34,Photograph,Ed Sheeran
35,Hello,Adele
36,Stitches,Shawn Mendes
37,Talking Body,Tove Lo
38,Jealous,Nick Jonas
39,Time Of Our Lives,Pitbull & Ne-Yo
40,Locked Away,R. City Featuring Adam Levine
41,Somebody,Natalie La Rose Featuring Jeremih
42,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney
43,Centuries,Fall Out Boy
44,My Way,Fetty Wap Featuring Monty
45,Take Your Time,Sam Hunt
46,Animals,Maroon 5
47,I Don't F**k With You,Big Sean Featuring E-40
48,B**** Better Have My Money,Rihanna
49,Flex (Ooh Ooh Ooh),Rich Homie Quan
50,Nasty Freestyle,T-Wayne
51,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown"
52,Elastic Heart,Sia
53,Cool For The Summer,Demi Lovato
54,Renegades,X Ambassadors
55,I Don't Mind,Usher Featuring Juicy J
56,Love Me Harder,Ariana Grande & The Weeknd
57,Wildest Dreams,Taylor Swift
58,Stay With Me,Sam Smith
59,You Know You Like It,DJ Snake & AlunaGeorge
60,Uma Thurman,Fall Out Boy
61,7/11,Beyonce
62,The Heart Wants What It Wants,Selena Gomez
63,Girl Crush,Little Big Town
64,Slow Motion,Trey Songz
65,Drag Me Down,One Direction
66,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne
67,One Last Time,Ariana Grande
68,Chains,Nick Jonas
69,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
70,No Type,Rae Sremmurd
71,Riptide,Vance Joy
72,Classic Man,Jidenna Featuring Roman GianArthur
73,Ex's & Oh's,Elle King
74,Dear Future Husband,Meghan Trainor
75,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
76,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
77,Habits (Stay High),Tove Lo
78,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence
79,CoCo,O.T. Genasis
80,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
81,Lay Me Down,Sam Smith
82,Tuesday,I LOVE MAKONNEN Featuring Drake
83,Hit The Quan,iLoveMemphis
84,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"
85,House Party,Sam Hunt
86,Ayo,Chris Brown & Tyga
87,Kick The Dust Up,Luke Bryan
88,Blessings,Big Sean Featuring Drake
89,Budapest,George Ezra
90,Chandelier,Sia
91,Heartbeat Song,Kelly Clarkson
92,Don't,Ed Sheeran
93,Ghost,Ella Henderson
94,Here,Alessia Cara
95,Waves,Mr. Probz
96,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
97,She Knows,Ne-Yo Featuring Juicy J
98,Night Changes,One Direction
99,Back To Back,Drake
100,How Deep Is Your Love,Calvin Harris & Disciples
1,Love Yourself,Justin Bieber
2,Sorry,Justin Bieber
3,One Dance,Drake Featuring WizKid & Kyla
4,Work,Rihanna Featuring Drake
5,Stressed Out,twenty one pilots
6,Panda,Desiigner
7,Hello,Adele
8,Don't Let Me Down,The Chainsmokers Featuring Daya
9,Can't Stop The Feeling!,Justin Timberlake
10,Closer,The Chainsmokers Featuring Halsey
11,Cheap Thrills,Sia Featuring Sean Paul
12,7 Years,Lukas Graham
13,Needed Me,Rihanna
14,My House,Flo Rida
15,I Took A Pill In Ibiza,Mike Posner
16,Work From Home,Fifth Harmony Featuring Ty Dolla $ign
17,This Is What You Came For,Calvin Harris Featuring Rihanna
18,Cake By The Ocean,DNCE
19,"Me, Myself & I",G-Eazy x Bebe Rexha
20,Ride,twenty one pilots
21,Heathens,twenty one pilots
22,Pillowtalk,Zayn
23,Stitches,Shawn Mendes
24,Hotline Bling,Drake
25,Cold Water,Major Lazer Featuring Justin Bieber & MO
26,Send My Love (To Your New Lover),Adele
27,Roses,The Chainsmokers Featuring Rozes
28,Treat You Better,Shawn Mendes
29,Too Good,Drake Featuring Rihanna
30,Low Life,Future Featuring The Weeknd
31,What Do You Mean?,Justin Bieber
32,The Hills,The Weeknd
33,Just Like Fire,P!nk
34,Broccoli,D.R.A.M. Featuring Lil Yachty
35,Don't,Bryson Tiller
36,Dangerous Woman,Ariana Grande
37,Jumpman,Drake & Future
38,I Hate U I Love U,gnash Featuring Olivia O'Brien
39,Here,Alessia Cara
40,Same Old Love,Selena Gomez
41,Controlla,Drake
42,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
43,One Call Away,Charlie Puth
44,Let It Go,James Bay
45,No,Meghan Trainor
46,Never Forget You,Zara Larsson & MNEK
47,Let Me Love You,DJ Snake Featuring Justin Bieber
48,Don't Mind,Kent Jones
49,H.O.L.Y.,Florida Georgia Line
50,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez
51,Into You,Ariana Grande
52,Gold,Kiiara
53,Exchange,Bryson Tiller
54,679,Fetty Wap Featuring Remy Boyz
55,Oui,Jeremih
56,Hands To Myself,Selena Gomez
57,2 Phones,Kevin Gates
58,Starboy,The Weeknd Featuring Daft Punk
59,For Free,DJ Khaled Featuring Drake
60,Never Be Like You,Flume Featuring Kai
61,In The Night,The Weeknd
62,Me Too,Meghan Trainor
63,Ex's & Oh's,Elle King
64,Die A Happy Man,Thomas Rhett
65,White Iverson,Post Malone
66,Close,Nick Jonas Featuring Tove Lo
67,Unsteady,X Ambassadors
68,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
69,Down In The DM,Yo Gotti Featuring Nicki Minaj
70,Luv,Tory Lanez
71,Sorry,Beyonce
72,Can't Feel My Face,The Weeknd
73,Hymn For The Weekend,Coldplay
74,Say It,Tory Lanez
75,Antidote,Travis Scott
76,Lost Boy,Ruth B
77,Side To Side,Ariana Grande Featuring Nicki Minaj
78,"Sit Still, Look Pretty",Daya
79,Wildest Dreams,Taylor Swift
80,Middle,DJ Snake Featuring Bipolar Sunshine
81,On My Mind,Ellie Goulding
82,Pop Style,Drake Featuring The Throne
83,When We Were Young,Adele
84,Hide Away,Daya
85,Lean On,Major Lazer X DJ Snake Featuring MO
86,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
88,Watch Me,Silento
89,Back To Sleep,Chris Brown
90,No Limit,Usher Featuring Young Thug
91,Cut It,O.T. Genasis Featuring Young Dolph
92,Really Really,Kevin Gates
93,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap
94,Starving,Hailee Steinfeld & Grey Featuring Zedd
95,Adventure Of A Lifetime,Coldplay
96,Humble And Kind,Tim McGraw
97,Wicked,Future
98,Tiimmy Turner,Desiigner
99,See You Again,Wiz Khalifa Featuring Charlie Puth
100,Perfect,One Direction
1,Shape Of You,Ed Sheeran
2,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
3,That's What I Like,Bruno Mars
4,Humble.,Kendrick Lamar
5,Something Just Like This,The Chainsmokers & Coldplay
6,Bad And Boujee,Migos Featuring Lil Uzi Vert
7,Closer,The Chainsmokers Featuring Halsey
8,Body Like A Back Road,Sam Hunt
9,Believer,Imagine Dragons
10,Congratulations,Post Malone Featuring Quavo
11,Say You Won't Let Go,James Arthur
12,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
13,XO TOUR Llif3,Lil Uzi Vert
14,Mask Off,Future
15,Unforgettable,French Montana Featuring Swae Lee
16,24K Magic,Bruno Mars
17,Stay,Zedd & Alessia Cara
18,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller
19,Black Beatles,Rae Sremmurd Featuring Gucci Mane
20,Starboy,The Weeknd Featuring Daft Punk
21,Location,Khalid
22,Attention,Charlie Puth
23,There's Nothing Holdin' Me Back,Shawn Mendes
24,Bodak Yellow (Money Moves),Cardi B
25,Redbone,Childish Gambino
26,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift
27,It Ain't Me,Kygo x Selena Gomez
28,iSpy,KYLE Featuring Lil Yachty
29,Issues,Julia Michaels
30,Scars To Your Beautiful,Alessia Cara
31,1-800-273-8255,Logic Featuring Alessia Cara & Khalid
32,Slow Hands,Niall Horan
33,Love On The Brain,Rihanna
34,I Feel It Coming,The Weeknd Featuring Daft Punk
35,Bounce Back,Big Sean
36,Strip That Down,Liam Payne Featuring Quavo
37,Fake Love,Drake
38,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
39,Look What You Made Me Do,Taylor Swift
40,Castle On The Hill,Ed Sheeran
41,Bad Things,Machine Gun Kelly x Camila Cabello
42,Paris,The Chainsmokers
43,Side To Side,Ariana Grande Featuring Nicki Minaj
44,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
45,Feel It Still,Portugal. The Man
46,Let Me Love You,DJ Snake Featuring Justin Bieber
47,Sorry Not Sorry,Demi Lovato
48,Bank Account,21 Savage
49,Can't Stop The Feeling!,Justin Timberlake
50,Mi Gente,J Balvin & Willy William Featuring Beyonce
51,Thunder,Imagine Dragons
52,T-Shirt,Migos
53,Rake It Up,Yo Gotti Featuring Nicki Minaj
54,Mercy,Shawn Mendes
55,Tunnel Vision,Kodak Black
56,Rockstar,Post Malone Featuring 21 Savage
57,In Case You Didn't Know,Brett Young
58,Heathens,twenty one pilots
59,Now Or Never,Halsey
60,Caroline,Amine
61,Rolex,Ayo & Teo
62,DNA.,Kendrick Lamar
63,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
64,Swang,Rae Sremmurd
65,Passionfruit,Drake
66,Loyalty.,Kendrick Lamar Featuring Rihanna
67,Praying,Kesha
68,Goosebumps,Travis Scott
69,Cold,Maroon 5 Featuring Future
70,Broccoli,D.R.A.M. Featuring Lil Yachty
71,Slide,Calvin Harris Featuring Frank Ocean & Migos
72,What Ifs,Kane Brown Featuring Lauren Alaina
73,Chained To The Rhythm,Katy Perry Featuring Skip Marley
74,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean"
75,All Time Low,Jon Bellion
76,Hurricane,Luke Combs
77,Too Good At Goodbyes,Sam Smith
78,Young Dumb & Broke,Khalid
79,Magnolia,Playboi Carti
80,Love Galore,SZA Featuring Travis Scott
81,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black
82,Starving,Hailee Steinfeld & Grey Featuring Zedd
83,Both,Gucci Mane Featuring Drake
84,What About Us,P!nk
85,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
86,Slippery,Migos Featuring Gucci Mane
87,Sign Of The Times,Harry Styles
88,Water Under The Bridge,Adele
89,Malibu,Miley Cyrus
90,Down,Marian Hill
91,No Promises,Cheat Codes Featuring Demi Lovato
92,Treat You Better,Shawn Mendes
93,I Get The Bag,Gucci Mane Featuring Migos
94,Small Town Boy,Dustin Lynch
95,Everyday We Lit,YFN Lucci Featuring PnB Rock
96,Havana,Camila Cabello Featuring Young Thug
97,What Lovers Do,Maroon 5 Featuring SZA
98,Do Re Mi,blackbear
99,Look At Me!,XXXTENTACION
100,The Fighter,Keith Urban Featuring Carrie Underwood
1,God's Plan,Drake
2,Perfect,Ed Sheeran
3,Meant To Be,Bebe Rexha & Florida Georgia Line
4,Havana,Camila Cabello Featuring Young Thug
5,Rockstar,Post Malone Featuring 21 Savage
6,Psycho,Post Malone Featuring Ty Dolla $ign
7,I Like It,"Cardi B, Bad Bunny & J Balvin"
8,The Middle,"Zedd, Maren Morris & Grey"
9,In My Feelings,Drake
10,Girls Like You,Maroon 5 Featuring Cardi B
11,Nice For What,Drake
12,Lucid Dreams,Juice WRLD
13,Better Now,Post Malone
14,Finesse,Bruno Mars & Cardi B
15,Boo'd Up,Ella Mai
16,New Rules,Dua Lipa
17,Sad!,XXXTENTACION
18,Never Be The Same,Camila Cabello
19,Love Lies,Khalid & Normani
20,No Tears Left To Cry,Ariana Grande
21,Mine,Bazzi
22,Thunder,Imagine Dragons
23,Look Alive,BlocBoy JB Featuring Drake
24,Delicate,Taylor Swift
25,Yes Indeed,Lil Baby & Drake
26,Friends,Marshmello & Anne-Marie
27,Bad At Love,Halsey
28,Taste,Tyga Featuring Offset
29,Let You Down,NF
30,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
31,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz
32,Tequila,Dan + Shay
33,Feel It Still,Portugal. The Man
34,MotorSport,"Migos, Nicki Minaj & Cardi B"
35,I Like Me Better,Lauv
36,Youngblood,5 Seconds Of Summer
37,Whatever It Takes,Imagine Dragons
38,Ric Flair Drip,Offset & Metro Boomin
39,I Fall Apart,Post Malone
40,Pray For Me,The Weeknd & Kendrick Lamar
41,Back To You,Selena Gomez
42,Sicko Mode,Travis Scott
43,Walk It Talk It,Migos Featuring Drake
44,Gucci Gang,Lil Pump
45,Him & I,G-Eazy & Halsey
46,In My Blood,Shawn Mendes
47,All The Stars,Kendrick Lamar & SZA
48,Stir Fry,Migos
49,Too Good At Goodbyes,Sam Smith
50,Love.,Kendrick Lamar Featuring Zacari
51,This Is America,Childish Gambino
52,Nonstop,Drake
53,Heaven,Kane Brown
54,Bodak Yellow (Money Moves),Cardi B
55,Freaky Friday,Lil Dicky Featuring Chris Brown
56,Gummo,6ix9ine
57,Plug Walk,Rich The Kid
58,Wait,Maroon 5
59,Be Careful,Cardi B
60,Wolves,Selena Gomez X Marshmello
61,Bartier Cardi,Cardi B Featuring 21 Savage
62,God Is A Woman,Ariana Grande
63,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
64,Sorry Not Sorry,Demi Lovato
65,How Long,Charlie Puth
66,Lights Down Low,MAX Featuring gnash
67,Young Dumb & Broke,Khalid
68,One Kiss,Calvin Harris & Dua Lipa
69,Natural,Imagine Dragons
70,You Make It Easy,Jason Aldean
71,Shape Of You,Ed Sheeran
72,I Get The Bag,Gucci Mane Featuring Migos
73,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"
74,Plain Jane,A$AP Ferg Featuring Nicki Minaj
75,Sky Walker,Miguel Featuring Travis Scott
76,Marry Me,Thomas Rhett
77,Eastside,"benny blanco, Halsey & Khalid"
78,Call Out My Name,The Weeknd
79,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake"
80,Happier,Marshmello & Bastille
81,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
82,Simple,Florida Georgia Line
83,Lemon,N*E*R*D & Rihanna
84,1-800-273-8255,Logic Featuring Alessia Cara & Khalid
85,Say Something,Justin Timberlake Featuring Chris Stapleton
86,I'm Upset,Drake
87,Get Along,Kenny Chesney
88,Moonlight,XXXTENTACION
89,What Lovers Do,Maroon 5 Featuring SZA
90,X,Nicky Jam x J Balvin
91,Outside Today,YoungBoy Never Broke Again
92,Trip,Ella Mai
93,Dura,Daddy Yankee
94,Changes,XXXTENTACION
95,Mercy,Brett Young
96,One Number Away,Luke Combs
97,Powerglide,Rae Sremmurd & Juicy J
98,IDGAF,Dua Lipa
99,Mi Gente,J Balvin & Willy William Featuring Beyonce
100,Believer,Imagine Dragons
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
3,Without Me,Halsey
4,Bad Guy,Billie Eilish
5,Wow.,Post Malone
6,Happier,Marshmello & Bastille
7,7 Rings,Ariana Grande
8,Talk,Khalid
9,Sicko Mode,Travis Scott
10,Sucker,Jonas Brothers
11,High Hopes,Panic! At The Disco
12,"Thank U, Next",Ariana Grande
13,Truth Hurts,Lizzo
14,Dancing With A Stranger,Sam Smith & Normani
15,Senorita,Shawn Mendes & Camila Cabello
16,I Don't Care,Ed Sheeran & Justin Bieber
17,Eastside,"benny blanco, Halsey & Khalid"
18,Going Bad,Meek Mill Featuring Drake
19,Shallow,Lady Gaga & Bradley Cooper
20,Better,Khalid
21,No Guidance,Chris Brown Featuring Drake
22,Girls Like You,Maroon 5 Featuring Cardi B
23,Sweet But Psycho,Ava Max
24,Suge,DaBaby
25,Middle Child,J. Cole
26,Drip Too Hard,Lil Baby & Gunna
27,Someone You Loved,Lewis Capaldi
28,Ran$om,Lil Tecca
29,If I Can't Have You,Shawn Mendes
30,Goodbyes,Post Malone Featuring Young Thug
31,ZEZE,Kodak Black Featuring Travis Scott & Offset
32,Better Now,Post Malone
33,Youngblood,5 Seconds Of Summer
34,Money In The Grave,Drake Featuring Rick Ross
35,Speechless,Dan + Shay
36,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
37,Please Me,Cardi B & Bruno Mars
38,Money,Cardi B
39,You Need To Calm Down,Taylor Swift
40,Panini,Lil Nas X
41,Look Back At It,A Boogie Wit da Hoodie
42,A Lot,21 Savage
43,ME!,Taylor Swift Featuring Brendon Urie
44,MIA,Bad Bunny Featuring Drake
45,Pop Out,Polo G Featuring Lil Tjay
46,Beautiful Crazy,Luke Combs
47,Thotiana,Blueface
48,Lucid Dreams,Juice WRLD
49,Mo Bamba,Sheck Wes
50,Beautiful People,Ed Sheeran Featuring Khalid
51,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
52,Whiskey Glasses,Morgan Wallen
53,God's Country,Blake Shelton
