,genre,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics

[Chorus]
I wanna taste her lips, yeah, 'cause they taste like you
I wanna drown myself in a bottle of her perfume
I want her long blonde hair, I want her magic touch
Yeah, 'cause maybe then, you'd want me just as much
I got a girl crush
[Outro]
I got a girl crush, hate to admit it but
I got a heart rush, it ain't slowin' downYou might also like88Embed"
35,country,7xKMmZ5S4z8YtATuzVYmpQ,God Blessed Texas,['Little Texas'],God Blessed Texas: The Singles 1992-1996,2020-09-25,2020,208733,False,58,0.648,0.7659999999999999,9,-8.514,1,0.0326,0.23199999999999998,1.5399999999999998e-05,0.121,0.971,128.797,"7 ContributorsGod Blessed Texas LyricsI've seen a lot of places
I've been around the world
I've seen some pretty faces
Been with some beautiful girls
After all I've witnessed
One thing still amazes me
Just like a miracle, you have to see to believe

[Chorus:]
(Cause) God blessed Texas
With His own hand
Brought down angels from the promised land
Gave 'em a place where they could dance
If you wanna see heaven, brother, here's your chance
I've been sent to spread the message
God blessed Texas

First, He let the sun shine
Then He made the waters deep
Then He gave us moonlight
For all the world to see
Well everybody knows that the Lord works in mysterious ways
He took a rest, then on the very next day

[Chorus (x2)]
You might also likeWell I've been sent to spread the message
God blessed Texas
Well I've been sent to spread the message
God blessed TexasEmbed"
36,country,0158TMiGmHyibaDeaUKayX,She Won't Be Lonely Long,['Clay Walker'],She Won't Be Lonely Long,2010-06-08,2010,209253,False,68,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.22899999999999998,0.322,113.00200000000001,"5 ContributorsShe Won’t Be Lonely Long Lyrics[Verse 1]
Something 'bout the way she’s wearing her dress a little tighter
Something 'bout the way she’s starin', she’s lookin' to start a fire
Something 'bout the way she’s dancin' and drinkin' chilled Patron
If she’s lonely now she won’t be lonely long

[Chorus]
Heaven help the fool who did her wrong
It’s too late, too bad, she’s too far gone
He should’ve thought of that before he left her all alone
If she’s lonely now, she won’t be lonely long

[Verse 2]
Something 'bout the way she’s blushin' you can tell she isn’t sure
Let you know she’s up to something she’s never done before
Tonight she wants to hold a stranger but not the one at home
If she’s lonely now she won’t be lonely long

[Chorus]
Heaven help the fool who did her wrong
It’s too late, too bad, she’s too far gone
He should’ve thought of that before he left her all alone
If she’s lonely now, she won’t be lonely long

[Bridge]
If I had a woman like that
Man I’d let her know
I’d hold her tight
I’d hold her close
Do anything, do everything to let her know
She’d never ever be alone
See Clay Walker LiveGet tickets as low as $54You might also like[Chorus]
Heaven help the fool who did her wrong
It’s too late, too bad, she’s too far gone
He should’ve thought of that before he left her all alone
If she’s lonely now, Lord if she’s lonely now
If she’s lonely now, she won’t be lonely long1Embed"
37,country,6IC6VhpV7D8T1t037Atqpu,Tequila Makes Her Clothes Fall Off,['Joe Nichols'],III,2005-01-01,2005,187053,False,71,0.664,0.706,2,-7.045,1,0.027000000000000003,0.129,1.06e-06,0.0857,0.6809999999999999,93.96799999999999,"7 ContributorsTequila Makes Her Clothes Fall Off Lyrics[Verse 1]
She said, ""I'm going out with my girlfriends
Margaritas at the Holiday Inn""
Oh, have mercy, my only thought
Was tequila makes her clothes fall off

[Verse 2]
I told her put an extra layer on
I know what happens when she drinks Patrón
Her closet's missing half the things she bought
Yeah, tequila makes her clothes fall off

[Chorus]
She'll start by kickin' out of her shoes
Lose an earring in her drink
Leave her jacket in the bathroom stall
Drop a contact down the sink

[Verse 3]
Them pantyhose ain't gonna last too long
If the DJ puts Bon Jovi on
She might come home in a tablecloth
Yeah, tequila makes her clothes fall off (Whoa-oh)

[Verse 4]
She can handle any champagne brunch
A bridal shower with Bacardi punch
Jell-O shooters full of Smirnoff
But tequila makes her clothes fall off
See Joe Nichols LiveGet tickets as low as $63You might also like[Chorus]
She'll start by kickin' out of her shoes
Lose an earring in her drink
Leave her jacket in the bathroom stall
Drop a contact down the sink

[Outro]
She don't mean nothin'
She's just havin' fun
Tomorrow she'll say, ""Oh, what have I done?""
Her friends will joke about the stuff she lost
Yeah, tequila makes her clothes fall off
Oh, tequila makes her clothes fall off
Oh, tequila makes her clothes fall offEmbed"
38,country,4TJUS843fKiqqIzycM74Oy,Should've Been A Cowboy,['Toby Keith'],Toby Keith,1993-04-20,1993,211306,False,79,0.618,0.672,7,-7.92,1,0.0353,0.441,1.49e-06,0.214,0.705,133.439,"19 ContributorsShould’ve Been a Cowboy Lyrics[Verse 1]
I'll bet you've never heard ol' Marshal Dillon say
""Miss Kitty, have you ever thought of running away
Settling down, would you marry me
If I asked you twice and begged you pretty please?""
She'd have said yes in a New York minute
They never tied the knot, his heart wasn't in it
He just stole a kiss as he rode away
He never hung his hat up
At Kitty's place

[Chorus]
I should've been a cowboy
I should've learned to rope and ride
Wearing my six-shooter, riding my pony on a cattle drive
Stealing a young girls' heart
Just like Gene and Roy
Singing those campfire songs
Oh, I should've been a cowboy

[Verse 2]
I might've had a sidekick with a funny name
Running wild through the hills chasing Jesse James
Ending up on the brink of danger
Riding shotgun for the Texas Rangers
Go west, young man, haven't you been told
California's full of whiskey, women and gold
Sleeping out all night beneath the desert stars
With a dream in my eye, and a prayer in my heart
You might also like[Chorus]
I should've been a cowboy
I should've learned to rope and ride
Wearing my six-shooter, riding my pony on a cattle drive
Stealing a young girls' heart
Just like Gene and Roy
Singing those campfire songs
Oh, I should've been a cowboy

[Chorus]
I should've been a cowboy
I should've learned to rope and ride
I'd be wearing my six-shooter, riding my pony on a cattle drive
Stealing a young girls' heart
Just like Gene and Roy
Singing those campfire songs
Oh, I should've been a cowboy

[Outro]
Yeah, I should've been a cowboy
I should've been a cowboy5Embed"
39,country,7dFSHwa7BNZvWlOuYsvFpy,Red High Heels,['Kellie Pickler'],Small Town Girl,2006-10-31,2006,222853,False,54,0.626,0.8420000000000001,5,-3.74,1,0.0337,0.13,0.0,0.0734,0.54,115.72,"4 ContributorsRed High Heels Lyrics[Verse 1]
Baby, I got plans tonight you don't know nothin' about
I've been sittin' 'round way too long tryin' to figure you out
But you say that you'll call and you don't
And I'm spinnin' my wheels
So I'm goin' out tonight in my red high heels

[Verse 2]
I'm gonna call up that old boyfriend
Who says still has it bad for me
I'm gonna take him into town
Flaunt him around for everyone to see
Well, you said once yourself, baby
Yeah, you know the deal
Nobody holds a candle to me
In my red high heels

[Chorus]
Oh, you can watch me walk if you want to, want to
I bet you want me back now, don't you, don't you?
I'm about to show you just how missin' me feels
In my red high heels

[Verse 2]
All those games you tried to play
Well, they ain't gonna work on me now
I put a barbed wire fence around my heart, baby
Just to keep you out
Well, you thought I'd wait around forever
But baby, get real
I just kicked you to the curb in my red high heels
You might also like[Chorus]
Oh, you can watch me walk if you want to, want to
I bet you want me back now, don't you, don't you?
I'm about to show you just how missin' me feels
In my red high heels
Oh, you can watch me walk if you want to, want to
I bet you want me back now, don't you, don't you?
I'm about to show you just how missin' me feels
Oh, you can watch me walk if you want to, want to
I bet you want me back now, don't you, don't you?
I'm about to show you just how missin' me feels
In my red high heels

[Outro]
In my red high heels
In my red high heelsEmbed"
40,country,0PsBdKWnOQGMo9smobflvy,Bubba Shot The Jukebox,['Mark Chesnutt'],Longnecks & Short Stories,1992-01-01,1992,185840,False,63,0.544,0.648,7,-8.454,1,0.0549,0.307,0.0,0.0843,0.866,165.484,"7 ContributorsBubba Shot the Jukebox Lyrics[Verse 1]
We were all down at Margie's bar
Telling stories if we had one
Someone fired the old jukebox up
The song sure was a sad one
A teardrop rolled down Bubba's nose
From the pain the song was inflicting
And all at once he jumped to his feet
Just like somebody kicked him

[Chorus]
Bubba shot the juke box last night
Said it played a sad song it made him cry
Went to his truck and got a forty five
Bubba shot the juke box last night

[Verse 2]
Bubba ain't never been accused of being mentality stable
So we did not draw an easy breath
Until he laid that colt on the table
He hung his head till the cops showed up
They dragged him right out of Margie's
Told him ""Don't you play dumb with us, son""
""Know damn well what the charge is.""

[Chorus]
Bubba shot the juke box last night
Said it played a sad song it made him cry
Went to his truck and got a forty five
Well, he shot the juke box last night
You might also like[Verse 3]
Well, the sheriff arrived with his bathrobe on
The confrontation was a tense one
Shook his head and said, ""Bubba Boy,""
""You was always a dense one.""
A reckless discharge of a gun
That's what the officers are claiming
Bubba hollered, ""Reckless! Hell!""
""I hit just where I was aiming.""

[Chorus]
Bubba shot the juke box last night
Said it played a sad song it made him cry
Went to his truck and got a forty five
Well, he shot the juke box stopped it with one shot
Bubba shot the jukebox last night

[Bridge]
Well, he could not tell right from wrong
Through the teardrops in his eyes
Beyond a shadow of a doubt
It was justifiable homicide

[Instrumental Break]

[Outro]
Bubba shot the juke box stopped it with one shot
Bubba shot the jukebox last night1Embed"
41,country,2oyS4THTUzUxT2lnHGzzIr,She Don't Know She's Beautiful,['Sammy Kershaw'],Haunted Heart,1993-03-09,1993,174626,False,67,0.764,0.6459999999999999,9,-9.424,1,0.0302,0.36700000000000005,0.0,0.0849,0.877,116.141,"9 ContributorsShe Don’t Know She’s Beautiful Lyrics[Verse 1]
We go out to a party somewhere
The moment we walk in the door
People stop and everybody stares
She don't know what they're starin' for

[Chorus]
She don't know she's beautiful (never crossed her mind)
She don't know she's beautiful (no, she's not that kind)
She don't know she's beautiful
Though time and time I've told her so

[Verse 2]
There she goes just walking down the street
And someone lets a whistle out
A girl like her, she just can't see
What the fuss is all about

[Chorus]
And she don't know she's beautiful (never crossed her mind)
She don't know she's beautiful (no, she's not that kind)
She don't know she's beautiful
Though time and time I've told her so

[Instrumental Break]
You might also like[Verse 3]
Morning comes and her hair's all a mess
That's when she thinks she looks her worst
It's times like this she don't know why
I can't take my eyes off her

[Chorus]
'Cause she don't know she's beautiful (never crossed her mind)
She don't know she's beautiful (no, she's not that kind)
She don't know she's beautiful
Though time and time I've told her

[Chorus]
She don't know she's beautiful (never crossed her mind)
She don't know she's beautiful (no, she's not that kind)
She don't know she's beautiful
Though time and time I've told her

[Outro]
She don't know she's beautiful1Embed"
42,country,0e05wFNr6zg1ULcp4NKs1p,Two Dozen Roses,['Shenandoah'],Now And Then,1996-01-01,1996,204333,False,71,0.687,0.648,4,-9.137,1,0.027000000000000003,0.314,1.37e-06,0.289,0.6,121.34100000000001,"11 ContributorsTwo Dozen Roses Lyrics[Verse 1]
I brought flowers to your door last night
I done you wrong and I wanna make it right
You say I'm not welcome here
I know it oughta be perfectly clear
But I can't help but wonder what it might be like

[Chorus]
If I had two dozen roses
And an older bottle of wine
If I really coulda hung the moon
Would you change your mind
If I could cry a little harder
And get a little less sleep at night
If I had two dozen roses
Would it change your mind

[Instrumental Break]

[Verse 2]
Oh, I must have been a fool back then
To lose something that you can't have again
I've done all that I know to do
And second guessed my every move
I can't help but wonder how it might have been
See Shenandoah LiveGet tickets as low as $55You might also like[Chorus]
If I had two dozen roses
And an older bottle of wine
If I really coulda hung the moon
Would it change your mind
If I could cry a little harder
And get a little less sleep at night
If I had two dozen roses
Would it change your mind

[Tag]
If I could cry a little harder
And get a little less sleep at night
If I had two dozen roses
Would it change your mind
Oh baby, would you change your mind
Oh baby, would you change your mind
Oh baby, would you change your mind

[Outro]
Oh baby, could you change your mind
Oh baby, would you change your mindEmbed"
43,country,6iblnklMzUKIXAtjk5lzIy,Whiskey Lullaby (feat. Alison Krauss),"['Brad Paisley', 'Alison Krauss']",Mud On The Tires,2003-01-01,2003,259893,False,67,0.52,0.33299999999999996,2,-11.508,1,0.0302,0.816,0.0,0.188,0.198,74.165,"40 ContributorsWhiskey Lullaby Lyrics[Verse 1: Brad Paisley]
She put him out
Like the burnin' end of a midnight cigarette
She broke his heart
He spent his whole life tryin' to forget
We watched him drink his pain away
A little at a time
But he never could get drunk enough
To get her off his mind
Until the night

[Chorus: Brad Paisley & Alison Krauss]
He put that bottle to his head and pulled the trigger
And finally drank away her memory
Life is short, but this time, it was bigger
Than the strength he had to get up off his knees
We found him with his face down in the pillow
With a note that said, ""I'll love her 'til I die""
And when we buried him beneath the willow
The angels sang a whiskey lullaby

[Post-Chorus: Brad Paisley & Alison Krauss]
La-la-la-la-la-la-la, la-la-la-la-la-la-la
La-la-la-la-la-la-la, la-la-la-la-la-la-la

[Verse 2: Alison Krauss]
The rumors flew
But nobody knew how much she blamed herself
For years and years
She tried to hide the whiskey on her breath
She finally drank her pain away
A little at a time
But she never could get drunk enough
To get him off her mind
Until the night
See Brad Paisley LiveGet tickets as low as $62You might also like[Chorus: Brad Paisley & Alison Krauss]
She put that bottle to her head and pulled the trigger
And finally drank away his memory
Life is short, but this time, it was bigger
Than the strength she had to get up off her knees
We found her with her face down in the pillow
Clinging to his picture for dear life
We laid her next to him beneath the willow
While the angels sang a whiskey lullaby

[Outro: Brad Paisley & Alison Krauss]
La-la-la-la-la-la-la, la-la-la-la-la-la-la
La-la-la-la-la-la-la, la-la-la-la-la-la-la
La-la-la-la-la-la-la, la-la-la-la-la-la-la
La-la-la-la-la-la-la, la-la-la-la-la-la-la45Embed"
44,country,0uZRJmWi1TH3wrAN7hAbyF,Guys Do It All the Time,['Mindy McCready'],Ten Thousand Angels,1996-04-30,1996,191800,False,53,0.551,0.794,0,-5.995,1,0.0341,0.0594,2.01e-05,0.231,0.5870000000000001,165.813,"5 ContributorsGuys Do It All the Time Lyrics[Verse 1]
Got in this morning at 4 A.M
You're as mad as you can be
Well, I was drinking and talking and you know how that goes
Time just slipped away from me
By the time I knew what time it was
It was too late to call home
Stop carrying on, acting like a child
I wasn't doing anything wrong

[Chorus]
Guys do it all the time
And you expect us to understand
When the shoe's on the other foot
You know that's when it hits the fan
Get over it, honey, life's a two way street
Or you won't be a man of mine
So I had some beers with the girls last night
Guys do it all the time

[Verse 2]
I know I left my clothes all over the place
And I took your twenty bucks
No, I didn't get the front yard cut
'Cause I had to wash my truck
Will you bring me a cold one, baby
Turn on the TV
We'll talk about this later
There's a ball game I wanna see
You might also like[Chorus]
Guys do it all the time
And you expect us to understand
When the shoe's on the other foot
You know that's when it hits the fan
Get over it, honey, life's a two way street
Or you won't be a man of mine
So I had some beers with the girls last night
Guys do it all the time

[Bridge]
You look like you just took
A long look in the mirror
Tell me baby if things don't look
A whole lot clearer

[Chorus]
Get over it, honey, life's a two way street
Or you won't be a man of mine
So I had some beers with the girls last night
Guys do it all the time

[Outro]
Yeah, guys do it
Yeah, guys do it
All the time, all the time
Yeah, guys do it
Yeah, guys do it
All the timeEmbed"
45,country,0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,['David Lee Murphy'],Out With A Bang,1994-01-01,1994,224666,False,72,0.736,0.614,11,-11.124,1,0.0389,0.0237,5.84e-06,0.292,0.858,99.94200000000001,"7 ContributorsDust on the Bottle Lyrics[Verse 1]
Creole Williams lived down a dirt road
He made homemade wine like nobody I know
I dropped by one Friday night and said, ""Can you help me, Creole?
I got a little girl waiting on me, and I want to treat her right.""

[Pre-Chorus 1]
He said ""I got what you need, son,"" as we sat down in the cellar
He reached through the cobwebs as he turned on the light and said

[Chorus]
""There might be a little dust on the bottle
But don't let it fool you about what's inside
There might be a little dust on the bottle
But it's one of those things that gets sweeter with time""

[Verse 2]
You were sitting in the porch swing as I pulled up the driveway
My old heart was racing as you climbed inside
You slid over real close as we drove down to the lake road
And watched the sun fade in that big red sky

[Pre-Chorus 2]
I reached under the front seat and said, ""Now here's something special
It's just been waiting for a night like tonight
You might also like[Chorus]
""There might be a little dust on the bottle
But don't let it fool you about what's inside
There might be a little dust on the bottle
But it's one of those things that gets sweeter with time""

[Bridge]
You're still with me
We've made some memories
After all these years
There's one thing I've found
Some say good love
Is like a fine wine
It keeps getting better
As the days go by

[Chorus]
There might be a little dust on the bottle
But don't let it fool you about what's inside
There might be a little dust on the bottle
But it's one of those things that gets sweeter with time

There might be a little dust on the bottle
But don't let it fool you about what's inside
There might be a little dust on the bottle
But it's one of those things that gets sweeter with time
Don't let it fool you!4Embed"
46,country,5ZX3IrB9tPxOoBZdXILNpy,Little Good-Byes,['SHeDAISY'],The Whole Shebang,1999-01-01,1999,200693,False,45,0.56,0.6920000000000001,1,-6.438,1,0.0302,0.11199999999999999,0.0,0.0638,0.698,83.588,"6 ContributorsLittle Good-Byes Lyrics(Ooooo, Ooooo)
I'm gonna tell you something you don't wanna hear
You never listen when I talk
Maybe you'll listen when I walk
So I made my mind up and made a sandwich
And I didn't shed a tear
I gave you one last minute of my time
In this mess I left behind
When you come home tonight
And turn on the light
Don't you be surprised to find

[Chorus 1]
My little good-byes
Empty hangers by the closet door
Lipstick tube on the bathroom floor
My little good-byes
Unpaid bills by the kitchen phone
I took the Beatles, left Billy Joel
Little good-byes, little good-byes

I'm sure, you're sure I'll be back in just an hour or two
You'll tape a Hallmark to my door
They always said it better than you
And if you're wondering
When you're gonna hear from me
Well, take a real good look around boy
And it won't hard to see
When you come home tonight and turn on the light
Don't you be surprised to find
You might also like[Chorus 2]
My little good-byes
Took your favorite Dodger's hat
Left the litter, but I took the cat
My little good-byes
Loaded up the TV in the back of my car
Have fun watching the VCR
Little good-byes, oh baby, little good-byes

[Bridge]
So, cry to your mama
And your sympathetic friends and tell'em
And tell them how the story ends

[Chorus 3]
My little good-byes
Took the hourglass, left the sand
Now you got time on your hands
My little good-byes
Took the statue from Japan
Funny little Buddha man

[Chorus 4]
My little good-byes
Change my voice on the machine
Or there'll be little good-byes with every ring
My little good-byes
Left the pictures and took the frame
I've got the umbrella, here comes the rain
Yeah, yeah, yeah
Little good-byes
Rain - yeah, yeah, yeah
Little good-byes
Hey, hey - yeah, yeah, yeah
Hey, hey - yeah, yeah, yeah
Little good-byesEmbed"
47,country,6leiB1fEsTnVCuPiielde5,Something Like That,['Tim McGraw'],A Place In The Sun,1999-05-04,1999,183733,False,75,0.507,0.85,5,-5.678999999999999,1,0.0472,0.37799999999999995,0.0,0.0567,0.847,171.8,"12 ContributorsSomething Like That Lyrics[Verse 1]
It was Labor Day weekend I was seventeen
I bought a Coke and some gasoline
And I drove out to the county fair
When I saw her for the first time
She was standing there in the ticket line
And it all started right then and there
Oh, a sailor’s sky made a perfect sunset
And that's the day I'll never forget

[Chorus]
I had a barbeque stain on my white tee shirt
She was killing me in that miniskirt
Skipping rocks on the river by the railroad tracks
She had a suntan line and red lipstick
I worked so hard for that first kiss
And a heart don't forget something like that

[Verse 2]
Well it was five years later on a southbound plane
I was headed down to New Orleans
To meet some friends of mine for Mardi Gras
When I heard a voice from the past
Coming from a few rows back
And when I looked, I couldn't believe just what I saw
She said I bet you don't remember me
And I said only every other memory
See Tim McGraw LiveGet tickets as low as $31You might also like[Chorus]
I had a barbeque stain on my white tee shirt
She was killing me in that miniskirt
Skipping rocks on the river by the railroad tracks
You had a suntan line and red lipstick
I worked so hard for that first kiss
And a heart don't forget something like that

[Bridge]
Like an old photograph
Time can make a feeling fade
But the memory of a first love
Never fades away

[Chorus]
I had a barbecue stain on my white tee shirt
She was killing me in that miniskirt
Skipping rocks on the river by the railroad tracks
She had a sun tan line and red lipstick
I worked so hard for that first kiss
A heart don’t forget, no a heart don’t forget
I said a heart don’t forget something like that
Oh, not something like that2Embed"
48,country,2G6pvEfrwrJZS6NgqS3DqX,Don't Let Our Love Start Slippin' Away,['Vince Gill'],I Still Believe In You,1992-01-01,1992,224800,False,61,0.736,0.7190000000000001,3,-9.311,1,0.0313,0.42,0.000851,0.35,0.657,113.228,"4 ContributorsDon’t Let Our Love Start Slippin’ Away Lyrics[Verse 1: Vince Gill ]
We've been up
All night long
Trying to solve a problem
Hell it's almost dawn
Ain't no time for sleepin'
If our love is wearin' thin
Cause I ain't givin' up
And you ain't givin' in

[Chorus: Vince Gill ]
Don't let our love start slippin'
Love start slippin' away
Cause the life we've been livin'
Gets harder everyday
Don't let our love start slippin'
Love start slippin' away

[Verse 2:Vince Gill ]
A wounded love
Walks a real thin line
And no communication
Will kill it every time
So open up your heart
Baby we can work it out
Cause we've got the kind of love
People dream about
You might also like[Chorus- Vince Gill ]
Don't let our love start slippin'
Love start slippin' away
Cause the life we've been livin'
Gets harder everyday
Don't let our love start slippin'
Love start slippin' away

[Outro: -Vince Gill ]
It's past the point of right or wrong
Let's find a way to just hold on

[Chorus- Vince Gill ]
Don't let our love start slippin'
Love start slippin' away
Cause the life we've been livin'
Gets harder everyday
Don't let our love start slippin'
Love start slippin' away

Don't let our love start slippin'
Love start slippin' awayEmbed"
49,country,2Fs18NaCDuluPG1DHGw1XG,Life is a Highway,['Rascal Flatts'],Me And My Gang,2006-01-01,2006,276320,False,76,0.5820000000000001,0.9520000000000001,5,-3.8480000000000003,1,0.0731,0.00324,0.0,0.223,0.655,103.027,"76 ContributorsLife Is a Highway Lyrics[Intro]
Woo
Hmm, yeah

[Verse 1]
Life's like a road that you travel on
When there's one day here and the next day gone
Sometimes you bend, sometimes you stand
Sometimes you turn your back to the wind
There's a world outside every darkened door
Where blues won't haunt you anymore
Where the brave are free and lovers soar
Come ride with me to the distant shore

[Pre-Chorus]
We won't hesitate
To break down the garden gate
There's not much time left today, yeah

[Chorus]
Life is a highway
I wanna ride it all night long
If you're goin' my way
I wanna drive it all night long

[Verse 2]
Through all these cities and all these towns
It's in my blood and it's all around
I love you now like I loved you then
This is the road and these are the hands
From Mozambique to those Memphis nights
The Khyber Pass to Vancouver's lights
Knock me down, I'm back up again
You're in my blood, I'm not a lonely man
You might also like[Pre-Chorus]
There's no load I can't hold
The roads are rough, this I know
I'll be there when the light comes in
Just tell 'em we're survivors

[Chorus]
Life is a highway
I wanna ride it all night long (Woo)
If you're goin' my way
I wanna drive it all night long (All night long)
A gimme, gimme, gimme, gimme, yeah
Life is a highway
I wanna ride it all night long (Hmm, yeah)
If you're goin' my way (You're goin' my way)
I wanna drive it all night long (All night long)

[Bridge]
There was a distance between you and I (Between you and I)
A misunderstanding once
But now we look it in the eye
Ooh, yeah (Hmm, yeah)

[Instrumental Break]

[Refrain]
There ain't no load that I can't hold
The roads are rough, this I know
I'll be there when the light comes in
Tell 'em we're survivors
[Chorus]
Life is a highway
I wanna ride it all night long (All night long, yeah)
If you're goin' my way
I wanna drive it all night long (A gimme, gimme, gimme, a gimme, gimme, yeah)
Life is a highway (Life is a highway)
I wanna ride it all night long (Woo, yeah)
If you're goin' my way (Goin' my way)
I wanna drive it all night long (All night long, yeah; come on, gimme, gimme, gimme, gimme, gimme, gimme, yeah)
Life is a highway
I wanna ride it all night long (Yeah, I wanna drive it all night long, baby)
If you're goin' my way (You're goin' my way)
I wanna drive it all night long (All night long)23Embed"
50,country,4u26EevCNXMhlvE1xFBJwX,If I Die Young,['The Band Perry'],The Band Perry,2010-01-01,2010,222773,False,70,0.606,0.49700000000000005,4,-6.611000000000001,1,0.0277,0.348,0.0,0.275,0.36200000000000004,130.739,"89 ContributorsIf I Die Young Lyrics[Intro]
If I die young, bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song
Oh-oh, oh-oh

[Verse 1]
Lord, make me a rainbow, I'll shine down on my mother
She'll know I'm safe with you when she stands under my colors
Oh, and life ain't always what you think it ought to be, no
Ain't even gray, but she buries her baby
The sharp knife of a short life
Well, I've had just enough time

[Chorus]
If I die young, bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song

[Post-Chorus]
The sharp knife of a short life
Well, I've had just enough time

[Verse 2]
And I'll be wearing white when I come into your kingdom
I'm as green as the ring on my little cold finger
I've never known the lovin' of man
But it sure felt nice when he was holdin' my hand
There's a boy here in town, says he'll love me forever
Who would have thought forever could be severed by
You might also like[Pre-Bridge]
The sharp knife of a short life
Well, I've had just enough time

[Bridge]
So put on your best boys, and I'll wear my pearls
What I never did is done
A penny for my thoughts—oh no, I'll sell 'em for a dollar
They're worth so much more after I'm a goner
And maybe then you'll hear the words I've been singin'
Funny when you're dead, how people start listenin'

[Chorus]
If I die young, bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song

[Outro]
Ooh, ooh, the ballad of a dove
Go with peace and love
Gather up your tears, keep 'em in your pocket
Save 'em for a time when you're really gonna need 'em
Oh, the sharp knife of a short life
Well, I've had just enough time
So put on your best boys, and I'll wear my pearls62Embed"
51,country,2enprHJA0siL33w7TaN7VH,Pour Me,['Trick Pony'],Trick Pony,2001-01-01,2001,172000,False,45,0.484,0.905,10,-3.9930000000000003,1,0.135,0.0936,0.0,0.28600000000000003,0.767,182.058,"5 ContributorsPour Me Lyrics[Chorus]
Pour me, pour me
Pour me, pour me another shot of whiskey
Bartender hit me one more time
He left, I cried
I'm lost inside, won't ya help me
Fill it to the top cause I hit rock bottom this time

[Verse 1]
Well I don't want to listen to the old jukebox
So don'tcha put no quarters in the slot
I don't wanna talk and I don't wanna dance
I dang sure ain't lookin' for romance

[Verse 2]
I don't wanna hang out with the crowd
I don't wanna party and get real loud
Believe me when I tell ya that I've thought this through
There's only one thing that I want you to do

[Chorus]
Pour me, pour me
Pour me, pour me another shot of whiskey
Bartender hit me one more time
He left, I cried
I'm lost inside, won't ya help me
Fill it to the top cause I hit rock bottom this time
You might also like[Verse 3]
Here's my story, it's sad but it's true
There's so many things that I never knew
He loved to party and he loved to dance
He loved to get loud every time he had the chance

[Verse 4]
I always thought he was a simple-minded Okie
Little did I know he was the king of karaoke
He was everything that a man should be
Problem was that it wasn't with me

[Chorus]
Pour me, pour me
Pour me, pour me another shot of whiskey
Bartender hit me one more time
He left, I cried
I'm lost inside, won't ya help me
Fill it to the top cause I hit rock bottom this time

[Outro]
Fill it to the top cause I hit rock bottom this time
Fill it to the top cause I hit rock bottom this time
Pour Me
Pour Me
Pour Me
Pour MeEmbed"
52,country,3aKAdHDxhYu2gpbQMYSEkv,"Love, Me",['Collin Raye'],Love Songs,1991-01-01,1991,231626,False,55,0.6,0.242,0,-12.63,1,0.031,0.6970000000000001,0.0,0.128,0.3,106.616,"10 ContributorsLove, Me Lyrics[Verse 1]
I read a note my grandma wrote back in 1923
Grandpa kept it in his coat and he showed it once to me
He said, ""Boy, you might not understand, but a long, long time ago
Grandma's daddy didn't like me none, but I loved your Grandma so.

[Verse 2]
""We had this crazy plan to meet and run away together
Get married in the first town we came to and live forever
But nailed to the tree where we were supposed to meet, instead
I found this letter, and this is what it said...

[Chorus]
""If you get there before I do
Don't give up on me
I'll meet you when my chores are through
I don't know how long I'll be
But I'm not gonna let you down
Darling, wait and see
And between now and then, till I see you again
I'll be loving you, Love, me""

[Verse 3]
I read those words just hours before my Grandma passed away
In the doorway of a church where me and Grandpa stopped to pray
I know I'd never seen him cry in all my fifteen years
But as he said these words to her, his eyes filled up with tears
You might also like[Chorus]
""If you get there before I do
Don't give up on me
I'll meet you when my chores are through
I don't know how long I'll be
But I'm not gonna let you down
Darling, wait and see
And between now and then, till I see you again
I'll be loving you, Love, me""

[Tag]
""Between now and then, till I see you again
I'll be loving you, Love, me""3Embed"
